2017-07-18 10:34:35,737 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Colections:Colections:0.0.1 @ C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\pom.xml.
2017-07-18 10:34:36,459 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:34:36,469 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\main\resources
2017-07-18 10:34:36,473 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:34:36,500 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\test\resources
2017-07-18 10:37:02,991 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:37:03,006 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\main\resources
2017-07-18 10:37:03,008 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:37:03,020 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\test\resources
2017-07-18 10:37:21,360 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:37:21,367 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\main\resources
2017-07-18 10:37:21,369 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:37:21,377 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\test\resources
